goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGin_StaticRoute-8                   	 4133956	       315.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkGin_StaticRoute-8                   	 4069881	       310.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkEcho_StaticRoute-8                  	 3676941	       332.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkEcho_StaticRoute-8                  	 3519445	       322.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkEcho_StaticRoute-8                  	 3697736	       335.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkEcho_StaticRoute-8                  	 3699478	       331.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkEcho_StaticRoute-8                  	 3701492	       329.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFiber_StaticRoute-8                 	  122775	     10216 ns/op	    5620 B/op	      23 allocs/op
BenchmarkFiber_StaticRoute-8                 	  114458	     10334 ns/op	    5621 B/op	      23 allocs/op
BenchmarkFiber_StaticRoute-8                 	  111888	     10341 ns/op	    5620 B/op	      23 allocs/op
BenchmarkFiber_StaticRoute-8                 	  113600	     10495 ns/op	    5618 B/op	      23 allocs/op
BenchmarkFiber_StaticRoute-8                 	  111570	     10344 ns/op	    5617 B/op	      23 allocs/op
BenchmarkBolt_DynamicRoute-8                 	1000000000	         0.2902 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_DynamicRoute-8                 	1000000000	         0.2948 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_DynamicRoute-8                 	1000000000	         0.2832 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_DynamicRoute-8                 	1000000000	         0.2887 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_DynamicRoute-8                 	1000000000	         0.2822 ns/op	       0 B/op	       0 allocs/op
BenchmarkGin_DynamicRoute-8                  	 2088141	       532.4 ns/op	     144 B/op	       4 allocs/op
BenchmarkGin_DynamicRoute-8                  	 2089941	       583.2 ns/op	     144 B/op	       4 allocs/op
BenchmarkGin_DynamicRoute-8                  	 2054751	       553.0 ns/op	     144 B/op	       4 allocs/op
BenchmarkGin_DynamicRoute-8                  	 2238756	       571.8 ns/op	     144 B/op	       4 allocs/op
BenchmarkGin_DynamicRoute-8                  	 2231858	       561.8 ns/op	     144 B/op	       4 allocs/op
BenchmarkEcho_DynamicRoute-8                 	 2164269	       556.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkEcho_DynamicRoute-8                 	 2090886	       556.8 ns/op	     112 B/op	       3 allocs/op
BenchmarkEcho_DynamicRoute-8                 	 2251036	       566.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkEcho_DynamicRoute-8                 	 2090368	       573.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkEcho_DynamicRoute-8                 	 2106932	       561.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkFiber_DynamicRoute-8                	  111399	     11029 ns/op	    5757 B/op	      25 allocs/op
BenchmarkFiber_DynamicRoute-8                	  118176	     11040 ns/op	    5754 B/op	      25 allocs/op
